no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,Penghasilan perkapita,ukt
231710030590,9,13.0,5.0,0.0,4602900.0,8,4,5.0,7,3,2.0,2,4,5.0
231710030583,4,6.0,14.0,5820000.0,0.0,8,8,3.0,5,3,5.0,3,8,8.0
231710030577,10,9.0,14.0,2000000.0,4000000.0,8,8,4.0,4,3,3.0,2,8,6.0
231710030556,2,1.0,7.0,0.0,1000000.0,5,2,2.0,4,3,4.0,3,2,3.0
231710030551,2,7.0,1.0,3000000.0,0.0,8,3,4.0,3,4,4.0,3,3,3.0
231710030549,2,1.0,14.0,0.0,2500000.0,8,1,7.0,1,3,5.0,2,1,2.0
231710030548,5,6.0,1.0,12128790.0,0.0,8,8,3.0,7,3,4.0,3,8,8.0
231710030537,2,14.0,1.0,80000000.0,0.0,8,8,7.0,8,8,4.0,4,8,8.0
231710030530,10,6.0,1.0,5697294.0,0.0,8,6,5.0,4,4,4.0,2,6,6.0
231710030526,10,6.0,1.0,4700000.0,0.0,8,3,6.0,2,3,3.0,2,3,4.0
231710030514,10,5.0,6.0,5000000.0,1000000.0,8,8,4.0,7,7,2.0,2,8,8.0
231710030499,9,9.0,1.0,3000000.0,0.0,8,2,6.0,4,4,5.0,2,2,3.0
231710030486,2,3.0,3.0,1000000.0,500000.0,8,8,1.0,2,3,3.0,1,8,4.0
231710030483,10,5.0,5.0,3202500.0,3867500.0,8,8,5.0,5,3,3.0,3,8,7.0
231710030473,4,9.0,1.0,1000000.0,0.0,5,1,4.0,2,3,3.0,2,1,3.0
231710030463,3,5.0,5.0,5921000.0,4914900.0,8,8,4.0,5,3,3.0,2,8,8.0
231710030461,9,9.0,1.0,3500000.0,0.0,8,2,6.0,6,4,3.0,2,2,5.0
231710030459,2,9.0,14.0,3500000.0,0.0,8,8,2.0,3,4,5.0,2,8,5.0
231710030454,8,5.0,6.0,4200000.0,3000000.0,8,8,5.0,5,6,5.0,3,8,7.0
231710030444,3,5.0,5.0,3434700.0,4617700.0,8,8,3.0,1,3,3.0,2,8,7.0
231710030443,7,9.0,5.0,2000000.0,4809500.0,8,7,5.0,7,3,1.0,2,7,6.0
231710030441,8,13.0,5.0,1114000.0,4254800.0,8,5,5.0,7,3,4.0,3,5,6.0
231710030439,2,5.0,1.0,5000000.0,0.0,8,8,2.0,5,6,2.0,3,8,8.0
231710030433,5,5.0,1.0,5132800.0,0.0,8,7,4.0,4,3,1.0,2,7,7.0
231710030426,8,7.0,1.0,2500000.0,0.0,8,2,4.0,2,3,1.0,2,2,3.0
231710030423,7,5.0,9.0,5000000.0,1500000.0,8,8,4.0,4,8,3.0,2,8,6.0
231710030421,7,9.0,1.0,2500000.0,0.0,8,8,1.0,4,3,5.0,2,8,4.0
231710030413,8,10.0,5.0,1000000.0,5000000.0,8,8,2.0,5,1,1.0,3,8,6.0
231710030370,8,9.0,1.0,4150000.0,0.0,8,7,3.0,5,3,1.0,3,7,7.0
231710030360,2,11.0,1.0,2348000.0,0.0,8,1,5.0,1,3,3.0,3,1,2.0
231710030347,2,5.0,5.0,4812000.0,3861000.0,8,8,3.0,1,3,3.0,3,8,6.0
231710030346,4,11.0,1.0,1500000.0,0.0,8,1,4.0,5,4,1.0,2,1,4.0
231710030343,5,11.0,14.0,3000000.0,0.0,8,3,4.0,5,3,4.0,2,3,7.0
231710030342,9,9.0,1.0,5000000.0,0.0,8,4,6.0,8,6,2.0,5,4,8.0
231710030331,5,9.0,1.0,2600000.0,0.0,8,4,3.0,3,3,4.0,2,4,6.0
231710030330,6,3.0,5.0,2000000.0,3800000.0,8,8,3.0,3,3,3.0,1,8,5.0
231710030328,4,9.0,9.0,1500000.0,500000.0,8,3,3.0,3,6,2.0,1,3,6.0
231710030325,8,14.0,14.0,0.0,0.0,1,1,5.0,6,6,1.0,3,1,8.0
