no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423583974,8,9.0,1.0,15000000,0,8,8,5,3,3,260000,1,8,0.0,600000,8
423372784,5,5.0,5.0,4618900,3532600,8,8,2,7,6,125000,3,8,1997000.0,425000,8
423006600,8,9.0,5.0,2000000,4883900,8,7,5,3,4,69000,3,7,0.0,250000,7
423220312,8,11.0,1.0,800000,0,3,1,5,1,3,75000,2,1,0.0,200000,1
423081667,8,11.0,1.0,2000000,0,8,2,4,2,3,0,1,2,0.0,206000,3
423262136,8,5.0,1.0,6358400,0,8,7,5,5,3,1125000,3,7,2000000.0,200000,8
423129634,8,6.0,1.0,3350000,0,8,4,4,4,4,200000,3,4,0.0,200000,7
423470253,8,11.0,1.0,1500000,0,8,1,4,2,3,30000,1,1,0.0,220000,1
423460766,8,12.0,1.0,3608700,0,8,6,3,8,3,725000,2,6,0.0,0,7
423645861,8,5.0,13.0,5000000,0,8,5,5,5,3,110000,3,8,0.0,150000,7
423615911,5,9.0,14.0,10000000,0,8,8,2,7,4,120000,3,8,0.0,250000,8
423220053,5,9.0,5.0,450000,10000000,8,8,2,5,7,0,3,8,1120000.0,177000,8
423112559,5,1.0,6.0,0,2877238,8,8,2,1,4,275000,3,8,0.0,265000,6
423320875,5,5.0,5.0,5720000,4542000,8,8,7,4,6,250000,3,8,2200000.0,307675,8
423207401,5,9.0,9.0,4000000,1000000,8,6,4,7,4,125000,2,6,2400000.0,160000,7
423408816,5,13.0,7.0,0,4366245,8,8,3,1,3,330000,2,1,0.0,189500,4
423507970,5,7.0,1.0,5000000,0,8,6,4,4,3,520,4,6,0.0,200,6
423001100,5,11.0,13.0,1000000,0,5,2,2,4,3,200000,2,2,0.0,153000,5
423135236,5,9.0,13.0,4000000,0,8,3,5,1,1,2560000,1,3,0.0,0,4
423567370,1,3.0,1.0,1000000,0,5,1,4,3,5,60000,3,1,0.0,450000,2
423262257,1,5.0,1.0,5031200,0,8,8,3,3,4,200000,2,8,0.0,200000,3
423522253,1,9.0,1.0,4000000,0,8,7,3,3,3,1100000,3,7,0.0,150000,7
423279357,1,7.0,1.0,4000000,0,8,5,4,4,4,500000,3,5,0.0,560500,4
423395803,1,7.0,14.0,3000000,0,8,2,5,7,3,300000,2,2,2000000.0,200000,4
423273438,1,11.0,1.0,1500000,0,8,3,2,3,3,0,1,3,0.0,233000,2
423360715,1,14.0,1.0,3544289,0,8,6,3,4,3,200000,2,6,0.0,350000,3
423658776,1,5.0,6.0,0,4200000,8,8,2,6,3,600000,3,8,2000000.0,250000,3
423570014,1,5.0,1.0,4300000,0,8,4,5,7,3,475000,3,4,0.0,200000,5
423661953,1,12.0,5.0,4500000,4300200,8,7,7,6,6,425000,3,7,1600000.0,0,5
423239019,1,6.0,1.0,8000000,0,8,8,4,7,6,55000,3,8,1937000.0,234500,6
423460131,1,1.0,5.0,0,4476200,8,8,3,5,3,0,2,8,0.0,220000,4
423221676,1,9.0,1.0,3000000,0,8,3,4,5,1,450000,3,3,0.0,235000,3
423521686,6,6.0,1.0,2780000,0,8,3,4,3,4,0,2,3,0.0,160000,1
423248787,6,5.0,13.0,4934400,0,8,8,3,4,3,12000,2,8,1308000.0,357000,6
423228708,6,6.0,7.0,1600000,1000000,8,2,5,3,3,450000,2,2,0.0,200000,2
423038199,6,11.0,1.0,2000000,0,8,2,4,3,3,85000,1,2,0.0,152000,2
423242267,6,3.0,1.0,1500000,0,8,2,3,2,3,0,1,2,0.0,207000,1
423069219,6,7.0,1.0,1728000,0,8,1,4,1,3,0,3,1,0.0,135000,1
423459735,6,3.0,1.0,3000000,0,8,3,4,4,4,195000,3,3,0.0,160000,3
423527981,6,12.0,5.0,3044800,4250600,8,8,3,4,3,300000,2,8,0.0,146000,8
423379866,6,13.0,5.0,0,8795000,8,8,3,7,7,0,2,8,2726000.0,200000,5
423352518,8,3.0,1.0,1000000,0,5,1,3,2,1,0,2,1,0.0,0,1
423498339,8,11.0,11.0,2000000,1000000,8,8,2,1,3,100000,1,8,0.0,250000,4
423652569,4,14.0,5.0,1500000,4000000,8,8,3,5,4,220000,2,8,0.0,400000,7
423665448,8,5.0,1.0,3233834,0,8,2,5,1,4,150000,1,2,0.0,0,4
423675575,2,3.0,1.0,1500000,0,8,1,4,2,3,0,1,1,0.0,0,1
423428826,2,7.0,1.0,2000000,0,8,2,4,4,3,0,2,2,0.0,200000,4
423246706,2,14.0,14.0,0,500000,2,1,3,2,1,0,2,1,0.0,0,1
423262322,2,11.0,3.0,1200000,1700000,8,3,4,3,3,60000,2,3,0.0,0,3
423425392,2,6.0,6.0,4473983,3459958,8,7,6,1,4,50000,3,7,0.0,147000,6
423219271,2,11.0,1.0,2500000,0,8,4,3,1,1,150000,2,4,0.0,0,4
423005980,2,5.0,6.0,3585100,3133384,8,8,3,1,3,0,1,8,0.0,250000,6
423044891,2,12.0,1.0,3635475,0,8,8,2,5,6,166000,3,8,2000000.0,300000,6
423555027,5,5.0,6.0,10000000,10000000,8,8,3,1,8,1375000,5,8,5000000.0,300000,8
423477215,5,6.0,1.0,22000000,0,8,8,6,8,4,450000,4,8,2500000.0,300000,8
423120933,5,6.0,1.0,26000000,0,8,8,4,7,8,1400000,4,8,3800000.0,300000,8
423027208,5,3.0,3.0,1500000,1750000,8,8,2,2,3,50000,1,8,0.0,0,4
423616079,5,12.0,5.0,4407500,4000000,8,8,4,6,3,0,2,4,0.0,195500,7
423118969,5,5.0,1.0,4900000,0,8,8,2,5,4,0,2,8,250000.0,250000,7
423240290,5,6.0,1.0,10000000,0,8,8,4,5,5,200000,2,8,0.0,1000000,8
423020320,5,9.0,1.0,3500000,0,8,8,1,6,3,200000,3,8,0.0,0,7
423617609,5,9.0,13.0,3000000,0,8,2,5,7,4,85000,3,1,0.0,225000,6
423428603,5,3.0,5.0,200000,4667000,8,4,6,4,3,100000,1,4,1500000.0,350000,7
423059979,5,9.0,1.0,2000000,0,8,5,2,4,4,0,2,5,0.0,250000,7
423428112,5,13.0,5.0,0,4000000,8,7,3,4,3,60000,2,7,0.0,170000,6
423657791,5,10.0,1.0,4000000,0,8,5,4,4,4,450000,2,5,2000000.0,450000,6
423264347,5,9.0,1.0,5000000,0,8,8,3,7,4,50000,3,8,1500000.0,750000,8
423390648,5,9.0,1.0,4000000,0,8,3,5,5,4,135000,4,3,0.0,0,6
423037842,8,6.0,6.0,20000000,25000000,8,8,4,8,8,500000,5,8,6800000.0,2500000,8
423244671,8,6.0,14.0,3000000,0,8,1,7,3,3,485000,3,3,0.0,150000,6
423238273,8,7.0,1.0,1000000,0,5,1,5,2,3,0,1,1,0.0,0,1
423590477,8,9.0,1.0,3000000,0,8,2,6,5,3,275000,3,2,0.0,400000,6
423177704,8,5.0,1.0,3402000,0,8,4,4,1,3,125000,3,4,0.0,300000,5
423577955,8,6.0,14.0,6412500,500,8,8,4,3,3,0,2,8,0.0,250,6
423523170,8,5.0,1.0,5590300,0,8,3,7,5,4,350000,1,6,0.0,360000,7
423287648,8,11.0,1.0,700000,0,3,1,5,5,3,0,2,1,0.0,260000,4
423315894,8,5.0,1.0,4368560,0,8,2,7,4,4,0,2,8,0.0,600000,6
423317213,8,5.0,1.0,4234750,0,8,4,5,5,3,300000,2,8,1500000.0,1500000,6
423094975,8,3.0,14.0,1000000,0,5,2,2,2,1,0,1,2,0.0,0,1
423072134,8,3.0,1.0,2000000,0,8,5,2,2,3,0,2,5,0.0,200000,3
423280967,8,9.0,1.0,8000000,0,8,6,7,5,6,450000,4,6,1800000.0,150000,8
423460589,8,6.0,1.0,5534219,0,8,7,4,1,3,350000,1,7,0.0,350000,5
423119793,8,11.0,11.0,3000000,1000000,8,5,4,4,5,65000,2,5,0.0,189700,6
423663537,8,3.0,7.0,1700000,600000,8,1,5,4,1,470000,3,1,0.0,0,6
423537476,8,6.0,1.0,34047003,0,8,8,3,7,7,450000,3,8,2894000.0,216500,8
423187644,8,14.0,1.0,3000000,0,8,8,2,1,1,200000,2,8,0.0,0,4
423548224,8,3.0,14.0,1000000,0,5,1,4,2,5,0,2,2,0.0,0,4
423616491,8,9.0,7.0,2000000,500000,8,6,2,5,3,200,4,6,0.0,500,6
423434821,8,13.0,7.0,0,2000000,8,3,3,1,3,150000,3,3,0.0,240000,4
423524707,8,6.0,13.0,3133800,0,8,3,4,3,3,0,2,8,0.0,210500,6
423676999,4,3.0,5.0,1000000,4563200,8,7,4,3,3,550000,1,7,0.0,200000,7
423313940,4,6.0,5.0,4487690,4610900,8,8,3,4,3,450000,2,8,2510000.0,147500,8
423030613,8,5.0,5.0,4583100,3909700,8,8,2,5,4,167000,2,8,0.0,195500,8
423188668,8,7.0,1.0,3000000,0,8,2,5,4,4,790000,2,2,0.0,400000,7
423383736,4,13.0,9.0,0,3500000,8,6,3,5,1,520000,3,6,0.0,0,7
